Date,Day,Time,Session,Room
2019-05-08,Wednesday,14:00 - 15:20,Designing for Haptics and VR,Dochart 1
2019-05-08,Wednesday,14:00 - 15:20,Classroom Learning,Alsh 2
2019-05-08,Wednesday,14:00 - 15:20,Gamification,Forth
2019-05-08,Wednesday,14:00 - 15:20,Memory and Mental Health,Hall 2
2019-05-08,Wednesday,14:00 - 15:20,Cooperativism and Human-Computer Interaction,Island A CROWN
2019-05-08,Wednesday,14:00 - 15:20,Transformative Experience Design: Using Interactive Technologies and Narrative to Support Transformative Experiences,Lomod Auditorium
2019-05-08,Wednesday,14:00 - 15:20,"Moving towards a journal-centric publication model for CHI: Possible paths, opportunities and risks",Argyll 1 CROWN
2019-05-08,Wednesday,15:20 - 16:00,Break and Interactivity,Hall 4
2019-05-08,Wednesday,15:20 - 16:00,Speaker prep room,Etive
2019-05-08,Wednesday,15:20 - 16:00,Interactivity,Hall 4
2019-05-08,Wednesday,15:20 - 16:00,Poster Rotation 2,Hall 4
2019-05-08,Wednesday,16:00 - 17:20,Social Media,Dochart 2
2019-05-08,Wednesday,16:00 - 17:20,"Help Me, I'm Only Human",Hall 1
2019-05-08,Wednesday,16:00 - 17:20,DomestiCHI,Carron 1
2019-05-08,Wednesday,16:00 - 17:20,Social Justice 2,Lomod Auditorium
2019-05-08,Wednesday,16:00 - 17:20,Speaker prep room,Etive
2019-05-08,Wednesday,16:00 - 17:20,Communicating your Research to the Public and the Press,Island B CROWN
2019-05-08,Wednesday,16:00 - 17:20,Introduction to Legal Issues in Human-Computer Interaction,Argyll 3 CROWN
2019-05-08,Wednesday,16:00 - 17:20,Tangible Ecosystem Design - Developing Disruptive Services for Digital Ecosystems ,Castle 3 CROWN
2019-05-08,Wednesday,16:00 - 17:20,Computational Interaction with Bayesian Methods,Argyll 2 CROWN
2019-05-08,Wednesday,16:00 - 17:20,Perception of Self and Others,Alsh 1
2019-05-08,Wednesday,16:00 - 17:20,"Look, Smell, Draw",Clyde Auditorium
2019-05-08,Wednesday,16:00 - 17:20,Participation and Civic Engagement,Gala
2019-05-08,Wednesday,16:00 - 17:20,Assistive Technologies for the Future,Boisdale 2
2019-05-08,Wednesday,16:00 - 17:20,Learning (Domains),Alsh 2
2019-05-08,Wednesday,16:00 - 17:20,Gameplay Analysis and Latency,Hall 2
2019-05-08,Wednesday,16:00 - 17:20,The One with Bots,Boisdale 1
2019-05-08,Wednesday,16:00 - 17:20,Queer(ing) HCI: Moving Forward in Theory and Practice,Island A CROWN
2019-05-08,Wednesday,16:00 - 17:20,"Moving Beyond ""The Great Screen Time Debate"" in the Design of Technology for Children",Argyll 1 CROWN
2019-05-08,Wednesday,16:00 - 17:20,Building Economic Models of Human Computer Interaction,Castle 2 CROWN
2019-05-08,Wednesday,16:00 - 17:20,Societal Impact,Dochart 1
2019-05-08,Wednesday,16:00 - 17:20,Awards - Social Impact,Hall 2-28
2019-05-08,Wednesday,16:00 - 17:20,Awards - Social Impact,Forth
2019-05-08,Wednesday,17:40 - 18:20,Video Showcase,Lomod Auditorium
2019-05-08,Wednesday,18:30 - 20:30,Glasgow Science Centre Reception,N/A
2019-05-09,Thursday,09:00 - 10:20,Communication through Visualization,Hall 1
2019-05-09,Thursday,09:00 - 10:20,Sustainable HCI,Dochart 2
2019-05-09,Thursday,09:00 - 10:20,Understanding People Online,Carron 1
2019-05-09,Thursday,09:00 - 10:20,Speaker prep room,Etive
2019-05-09,Thursday,09:00 - 10:20,Communicating your Research to the Public and the Press,Island B CROWN
2019-05-09,Thursday,09:00 - 10:20,alt.chi Keynote,Carron 2
2019-05-09,Thursday,09:00 - 10:20,Design for user interaction with intelligent systems,Argyll 2 CROWN
2019-05-09,Thursday,09:00 - 10:20,Eye Tracking Methodology in Screen-based Usability Testing,Argyll 3 CROWN
2019-05-09,Thursday,09:00 - 10:20,User Experience (UX) Research in Games,Castle 1 CROWN
2019-05-09,Thursday,09:00 - 10:20,"Conversation Design: Principles, Strategies, and Practical Application",Castle 2 CROWN
2019-05-09,Thursday,09:00 - 10:20,Prototyping Transparent and Flexible Electrochromic Displays,Castle 3 CROWN
2019-05-09,Thursday,09:00 - 10:20,Notifications and Attention,Alsh 1
2019-05-09,Thursday,09:00 - 10:20,The One with Robots,Boisdale 1
2019-05-09,Thursday,09:00 - 10:20,Redesigning Health Infrastructure,Boisdale 2
2019-05-09,Thursday,09:00 - 10:20,Playing and AI,Hall 2
2019-05-09,Thursday,09:00 - 10:20,VR/AR in Collaborative Settings,Alsh 2
2019-05-09,Thursday,09:00 - 10:20,Evaluating Technologies with and for Disabled Children,Island A CROWN
2019-05-09,Thursday,09:00 - 10:20,Health and Wellbeing,Argyll 1 CROWN
2019-05-09,Thursday,09:00 - 10:20,Using Technology at Home and Work,Clyde Auditorium
2019-05-09,Thursday,09:00 - 10:20,"Developers, Developers, Developers!",Dochart 1
2019-05-09,Thursday,09:00 - 10:20,"Behaviour monitoring, changing, and modeling",Lomod Auditorium
2019-05-09,Thursday,10:20 - 11:00,Break and Interactivity,Hall 4
2019-05-09,Thursday,10:20 - 11:00,Speaker prep room,Etive
2019-05-09,Thursday,10:20 - 11:00,Interactivity,Hall 4
2019-05-09,Thursday,11:00 - 12:20,Machine Learning and HCI,Dochart 1
2019-05-09,Thursday,11:00 - 12:20,Interaction in Public Contexts,Hall 2
2019-05-09,Thursday,11:00 - 12:20,Online Support Systems,Boisdale 1
2019-05-09,Thursday,11:00 - 12:20,Collaborative Design,Boisdale 2
2019-05-09,Thursday,11:00 - 12:20,Speaker prep room,Etive
2019-05-09,Thursday,11:00 - 12:20,Communicating your Research to the Public and the Press,Island B CROWN
2019-05-09,Thursday,11:00 - 12:20,Eye Tracking Methodology in Screen-based Usability Testing,Argyll 3 CROWN
2019-05-09,Thursday,11:00 - 12:20,User Experience (UX) Research in Games,Castle 1 CROWN
2019-05-09,Thursday,11:00 - 12:20,"Conversation Design: Principles, Strategies, and Practical Application",Castle 2 CROWN
2019-05-09,Thursday,11:00 - 12:20,Prototyping Transparent and Flexible Electrochromic Displays,Castle 3 CROWN
2019-05-09,Thursday,11:00 - 12:20,Student Design Competition,Dochart 2
2019-05-09,Thursday,11:00 - 12:20,Decision Making,Carron 2
2019-05-09,Thursday,11:00 - 12:20,Computing and Data Education,Alsh 2
2019-05-09,Thursday,11:00 - 12:20,Social Media Discussions,Alsh 1
2019-05-09,Thursday,11:00 - 12:20,"Digital Housekeeping, Gender and Domestic Work",Island A CROWN
2019-05-09,Thursday,11:00 - 12:20,Careers in HCI and UX: The Digital Transformation from Craft to Strategy,Argyll 1 CROWN
2019-05-09,Thursday,11:00 - 12:20,"Text, Language, and Communication",Forth
2019-05-09,Thursday,11:00 - 12:20,Unexpected Interactions,Clyde Auditorium
2019-05-09,Thursday,11:00 - 12:20,Schools and Learning,Gala
2019-05-09,Thursday,11:00 - 12:20,Reflections,Carron 1
2019-05-09,Thursday,11:00 - 12:20,Augmenting Interactions,Hall 1
2019-05-09,Thursday,12:20 - 14:00,Lunch Break (not provided),N/A
2019-05-09,Thursday,14:00 - 15:20,Computational Approaches to Bodily Interaction,Carron 1
2019-05-09,Thursday,14:00 - 15:20,Critical Perspectives,Boisdale 2
2019-05-09,Thursday,14:00 - 15:20,Skin and Textiles,Hall 2
2019-05-09,Thursday,14:00 - 15:20,Art and Culture,Alsh 2
2019-05-09,Thursday,14:00 - 15:20,Eye Tracking Methodology in Screen-based Usability Testing,Argyll 3 CROWN
2019-05-09,Thursday,14:00 - 15:20,User Experience (UX) Research in Games,Castle 1 CROWN
2019-05-09,Thursday,14:00 - 15:20,"Conversation Design: Principles, Strategies, and Practical Application",Castle 2 CROWN
2019-05-09,Thursday,14:00 - 15:20,Prototyping Transparent and Flexible Electrochromic Displays,Castle 3 CROWN
2019-05-09,Thursday,14:00 - 15:20,Intro to the Human Body: Wearability and Human Factors of Wearable Systems,Argyll 2 CROWN
2019-05-09,Thursday,14:00 - 15:20,Student Research Competition,Island B CROWN
2019-05-09,Thursday,14:00 - 15:20,Vision and Videos,Forth
2019-05-09,Thursday,14:00 - 15:20,Online Moderation,Boisdale 1
2019-05-09,Thursday,14:00 - 15:20,Studying Researchers and the Research Process,Lomod Auditorium
2019-05-09,Thursday,14:00 - 15:20,Conversational Interactions,Carron 2
2019-05-09,Thursday,14:00 - 15:20,Multimodal Experiences,Dochart 2
2019-05-09,Thursday,14:00 - 15:20,Access for Families Across Context,Alsh 1
2019-05-09,Thursday,14:00 - 15:20,Expecting the Unexpected in Participatory Design,Island A CROWN
2019-05-09,Thursday,14:00 - 15:20,The Future of Tangible User Interfaces,Argyll 1 CROWN
2019-05-09,Thursday,14:00 - 15:20,Data and Collaboration,Gala
2019-05-09,Thursday,14:00 - 15:20,Online Social Interactions,Hall 1
2019-05-09,Thursday,14:00 - 15:20,"Civic Engagement, Trust, and Meaning",Dochart 1
2019-05-09,Thursday,15:40 - 17:40,Closing Keynote,Clyde Auditorium
